user_id,address,age,aweme_count,total_favorited,favoriting_count
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAIXtOKtF_E7cmIe37wwbXYqj07RpGS0VRsCu19K4vH5b4cagpiyH_gnqOQQwRRFRH,未知,未知,未知,未知,未知
MS4wLjABAAAAWhF8vhhYbbm5EZGg_nu4lE6GwdltzMaKhXkA4OCvk9s,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAAPUG08xj-oo8FJcryGOGHXb18vGmgnqyyJIctPvhN-iI,未知,未知,未知,未知,未知
MS4wLjABAAAA6D8xTHJzgxtWTTkg4VBv-GAmICIOKA5QD4o8-xrq45AwGnhKKCtBcHMA76bSJSr9,未知,未知,未知,未知,未知
MS4wLjABAAAApz3JEvVehqm69G5d7MHIOe4XpT27SCxAPPwrJhgrNQc2ipVR2o45J5tMUtnqc6Av,未知,未知,未知,未知,未知
MS4wLjABAAAA9VFkagP-2qqo8rUyYdpic5ac9VS3u2P_un1ejDKgZyg,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAAqvgOndQhBFIg6zXvISVyKeIaAscvtbqKZYmWKhcbHmM,未知,未知,未知,未知,未知
MS4wLjABAAAA5X3hU5KE3W9UF_O4XxE4ZQfDIMu7DYn8XJcpIctVGlPrgCrUT8Tyq3nXHAY5YTcB,未知,未知,未知,未知,未知
MS4wLjABAAAAKfmCpyJLMsbwJ3IS5ftumxHNxP5r-wtwDV7afEskHUQ,未知,未知,未知,未知,未知
MS4wLjABAAAADusZX-aSTPImP6EttiQJIcm528J0vw0K6c5VaYLeO8QZ26COeadOyVT3cHJ5D9UT,未知,未知,未知,未知,未知
MS4wLjABAAAAN8AdUxRVLs2WrUaAI_mXQ_tqjWpdJGuKfRrVDXHgSrhbdwtNflG5vySxWtJgOYx3,未知,未知,未知,未知,未知
MS4wLjABAAAAIdbPasGD6QQgZJl2ClD_dGz7cCGfTTuK8WtYx_A-EC4,未知,未知,未知,未知,未知
MS4wLjABAAAARLyCpMKXJJH23740ZSmEALiEGwb3X2fgRtj3Td47TWUyR_0G5GvZtTgqizNuiMDL,未知,未知,未知,未知,未知
MS4wLjABAAAAGK1f72whyw7gkNqDUfQqbypmQBAj_WlSxOarvxoepK0kWnX4Xpm_YGV-0E54aGjn,未知,未知,未知,未知,未知
MS4wLjABAAAAVZ5vqhjmD55lC783B-a_ga0G2kCrhqysJSP8mkLZaFgaJx_Y3LzK1OxQoQuCgVS6,未知,未知,未知,未知,未知
MS4wLjABAAAAOCLpbyt9s82x7vFE_VU42_p-r5XGkG8yB27-i8go74ZZmQScV4owyP6uHuCylYiU,未知,未知,未知,未知,未知
MS4wLjABAAAANx2decYfoUosddpVQ8b9lMXt51p6xx53NFCtYZqKDvOdQTx6uuCTpOlvftybFnFL,未知,未知,未知,未知,未知
MS4wLjABAAAARAyP2NxtvoiCoOlV5yucR42p5sD3GB6rE-02_kB8-Lg,未知,未知,未知,未知,未知
